ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
190	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891	190	0,0,79,114,109,72	0,0,0,0,0,0	88,114,106,99,65,121	0,1,0,0,0,0	270	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.977,1.0,1.0,1.0,1.0	0.004
191	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1131035	1131223	1129869	1130011	1134871	1134986	191	0,0,59,105,53,63	0,0,0,0,0,0	74,81,72,72,63,99	0,0,1,0,0,0	287	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,0.961,1.0,1.0,1.0	0.006
192	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871	192	0,0,39,32,44,44	0,0,3,0,2,0	48,53,53,27,25,38	0,4,1,0,0,1	174	99	1	1.0	NA,NA,0.881,1.0,0.926,1.0	1.0,0.883,0.968,1.0,1.0,0.956	-0.016
193	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161174	1161230	1157906	1158634	1168089	1168185	193	0,0,0,0,2,1	0,0,4,8,7,7	1,0,4,0,0,0	18,29,7,20,11,13	155	99	1	1.0	NA,NA,0.0,0.0,0.154,0.084	0.034,0.0,0.267,0.0,0.0,0.0	0.009
194	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1161178	1161230	1157906	1158634	1168089	1168185	194	0,0,0,0,2,0	0,0,4,8,7,7	0,0,0,0,0,0	18,29,7,20,11,13	151	99	1	1.0	NA,NA,0.0,0.0,0.158,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.04
195	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1169122	1169257	1168089	1168185	1169964	1170184	195	0,0,9,12,12,10	0,0,2,2,2,9	15,16,11,10,16,13	8,13,8,17,14,4	234	99	1	1.0	NA,NA,0.656,0.717,0.717,0.32	0.442,0.342,0.368,0.199,0.326,0.579	0.226
196	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1199296	1199513	1239710	1239819	196	0,0,18,27,24,24	0,0,0,0,0,0	29,39,43,31,31,26	0,0,0,0,0,1	149	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.945	0.009
200	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239710	1239819	1224496	1224546	1245155	1245216	200	0,0,29,30,32,29	0,0,0,0,0,0	46,44,58,32,52,37	0,2,0,0,0,0	208	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.913,1.0,1.0,1.0,1.0	0.014
201	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239991	1240147	1239710	1239819	1245155	1245219	201	0,0,1,2,0,0	0,0,15,17,17,18	0,0,1,0,0,0	30,29,33,21,28,19	255	99	1	1.0	NA,NA,0.025,0.044,0.0,0.0	0.0,0.0,0.012,0.0,0.0,0.0	0.015
202	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1011839	1011967	1011259	1011323	1012047	1012169	202	0,0,180,266,235,272	0,0,0,0,0,0	377,364,330,365,348,372	2,0,0,0,0,0	227	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.988,1.0,1.0,1.0,1.0,1.0	0.002
204	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1013378	1013473	1012047	1012169	1014633	1014792	204	0,0,41,62,102,59	0,0,18,31,22,25	136,99,126,108,127,135	26,24,25,26,28,30	194	99	1	1.0	NA,NA,0.538,0.505,0.703,0.546	0.727,0.678,0.72,0.679,0.698,0.697	-0.127
205	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016056	1016191	1014633	1014792	1016589	1016684	205	0,0,77,137,181,134	0,0,0,2,0,0	167,196,190,207,172,147	0,0,0,0,0,0	234	99	1	1.0	NA,NA,1.0,0.967,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
206	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016056	1017508	1014633	1014792	1028187	1028847	206	0,0,133,269,325,269	0,0,1,0,0,0	303,320,253,354,253,307	0,0,0,0,0,0	1551	99	1	1.0	NA,NA,0.895,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.026
207	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1016589	1016684	1014633	1014792	1017363	1017508	207	0,0,56,83,77,70	0,0,0,0,0,1	91,77,118,89,96,128	0,0,0,0,0,0	194	99	1	1.0	NA,NA,1.0,1.0,1.0,0.973	1.0,1.0,1.0,1.0,1.0,1.0	-0.007
208	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1017363	1017508	1014633	1014792	1028187	1028594	208	0,0,0,0,8,3	0,0,1,0,0,0	3,3,6,3,5,2	0,0,0,0,0,0	244	99	1	1.0	NA,NA,0.0,NA,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.333
209	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1016056	1017508	1023301	1023474	209	0,0,278,374,382,382	0,0,1,1,2,5	405,389,475,464,369,423	5,0,2,0,5,1	269	99	1	1.0	NA,NA,0.99,0.993,0.986,0.966	0.968,1.0,0.989,1.0,0.964,0.994	-0.002
210	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1023301	1023474	1016056	1017508	1028187	1028594	210	0,0,82,121,132,131	0,0,0,0,8,2	124,146,147,119,119,124	1,0,0,3,2,0	272	99	1	1.0	NA,NA,1.0,1.0,0.857,0.96	0.978,1.0,1.0,0.935,0.956,1.0	-0.024
1276	"ENSMUSG00000024294.14"	"Mib1"	chr18	+	10749322	10749389	10747355	10747460	10751822	10752027	1276	0,0,188,221,221,164	0,0,2,2,0,5	191,186,208,184,215,225	0,0,0,0,4,0	166	99	1	1.0	NA,NA,0.982,0.985,1.0,0.951	1.0,1.0,1.0,1.0,0.97,1.0	-0.015
