MAF_file	mean_phylop	max_phylop	fraction_constrained	fraction_constrained_p01	sum_positive_phylop	n_sites_ge_300	fraction_sites_ge_300
ABI1_26752662	16.156340576739105	321.801	0.5477654776547766	0.5477654776547766	1091194.523	3208	0.4384310509771764
ABI1_26767315	-25.45419460269864	321.801	0.5214392803598201	0.5214392803598201	293148.753	512	0.1535232383808095
ACBD5_27211797	120.538519112478	321.801	0.6979349736379613	0.6979349736379613	990474.9529999996	3177	0.6979349736379613
ANKRD16_5878344	95.08754670459932	321.801	0.6571834992887624	0.6571834992887624	432172.988	1310	0.6211474632527264
ANKRD16_5880500	57.02865275212413	321.801	0.5973402290358331	0.5973402290358331	503070.09200000006	1513	0.5589213151089767
ANKRD26_27026002	135.64094192666818	321.801	0.7214757458437714	0.7214757458437714	988499.183	3168	0.7214757458437714
ANKRD26_27056870	192.32067333049764	321.801	0.8046221466042819	0.8046221466042819	1798694.7759999998	5673	0.8043385793279455
ANKRD26_27062100	172.23393706047818	321.801	0.7725035161744023	0.7725035161744023	695898.3899999999	2197	0.7725035161744023
ANKRD26_27096108	-8.43084085213034	321.801	0.5059523809523809	0.5059523809523809	913728.7699999998	2776	0.4348370927318296
ARMC4_27861934	9.956533214709369	321.801	0.5183867141162515	0.5183867141162515	275146.657	874	0.5183867141162515
ARMC4_27936416	37.225014003819226	321.801	0.5066836409929981	0.5066836409929981	120146.623	309	0.1966900063653723
CACNB2_18538835	95.6259989615784	321.801	0.6542056074766355	0.6542056074766355	198563.095	628	0.652128764278297
CDNF_14837155	146.1280982944345	321.801	0.7338420107719928	0.7338420107719928	515088.704	1635	0.7338420107719928
CUBN_16917528	18.955207063197022	321.801	0.5356877323420074	0.5356877323420074	451611.747	1439	0.5349442379182157
CUBN_17067056	73.76072424722662	321.801	0.6335182250396196	0.6335182250396196	428703.769	1321	0.5233755942947702
CUBN_17112589	49.98276975609756	321.625	0.7678048780487805	0.7678048780487805	280463.713	155	0.0504065040650406
DCLRE1C_14921697	59.31612226670772	321.801	0.5993224514936865	0.5993224514936865	609513.7989999999	1946	0.5993224514936865
DIP2C_281101	1.0719699005643657	321.801	0.5821015855952701	0.5821015855952701	289647.272	311	0.0835796828809459
GAD2_26292391	101.26613016971496	321.801	0.680672268907563	0.680672268907563	1230020.125	3834	0.6317350469599604
GATA3_8059617	-13.730890285714285	321.801	0.5085714285714286	0.5085714285714286	333098.245	360	0.0685714285714285
GDI2_5767935	-6.8728612786489744	321.616	0.517490952955368	0.517490952955368	107690.684	82	0.0494571773220747
GTPBP4_990430	-4.973683990147792	321.801	0.4960591133004926	0.4960591133004926	637618.1470000001	2014	0.4960591133004926
ITIH2_7731305	77.54646718972896	321.801	0.4094151212553495	0.4094151212553495	164889.631	490	0.3495007132667617
ITIH2_7733971	11.57245948072384	321.801	0.4964594807238395	0.4964594807238395	172186.70200000002	186	0.073170731707317
KIAA1217_24521609	63.73170374923172	321.801	0.6496619545175168	0.6496619545175168	283905.228	823	0.505838967424708
KIAA1217_24525263	2.543068807339444	321.801	0.5223241590214067	0.5223241590214067	451988.739	1183	0.3617737003058104
KIN_7780885	61.54884227019498	321.801	0.5814763231197771	0.5814763231197771	503005.019	1543	0.5372562674094707
MCM10_13196889	-6.059360420650096	321.616	0.030114722753346	0.030114722753346	19718.72	63	0.030114722753346
MINDY3_15780546	-25.042803611738147	321.616	0.4301838116736536	0.4301838116736536	164036.399	114	0.036762334730732
MLLT10_21588208	25.045947692985354	321.801	0.5474066732738685	0.5474066732738685	1523028.1350000002	4851	0.5341922695738355
MYO3A_26017146	-13.841644208289052	321.801	0.5219978746014878	0.5219978746014878	603459.698	1871	0.3976620616365569
MYO3A_26092548	27.80438828929413	321.801	0.6536409874705371	0.6536409874705371	557292.687	113	0.0140181118967869
MYO3A_26150149	41.51312208483331	321.801	0.5415557990295821	0.5415557990295821	1061868.67	3304	0.5171388323681327
MYO3A_26200430	-0.0613846249379036	3.304	0.0119225037257824	0.0078241430700447	1895.669	0	0.0
NET1_5449968	73.66960591715976	321.801	0.6556213017751479	0.6556213017751479	912229.467	2668	0.526232741617357
