ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSMUSG00000056673.14"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760	1	0,0,10,31,16,22	0,0,23,32,27,49	25,24,15,26,30,16	22,30,13,63,31,42	2556	99	1	1.0	NA,NA,0.017,0.036,0.022,0.017	0.042,0.03,0.043,0.016,0.036,0.015	-0.007
194	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9959254	9959315	194	0,0,11,9,14,4	0,0,37,37,47,33	6,13,11,6,12,12	51,28,41,53,51,46	182	99	1	1.0	NA,NA,0.139,0.117,0.139,0.062	0.06,0.202,0.127,0.058,0.113,0.124	0.0
195	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986603	9986288	9986355	9986552	9986603	195	0,0,51,107,105,99	0,0,30,26,32,25	96,134,60,84,45,70	26,27,40,23,27,44	296	99	1	1.0	NA,NA,0.362,0.579,0.523,0.57	0.553,0.624,0.334,0.55,0.358,0.347	0.047
196	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986761	9986288	9986355	9986690	9986761	196	0,0,48,107,95,87	0,0,0,2,0,0	77,122,58,77,34,74	0,0,0,0,0,0	434	99	1	1.0	NA,NA,1.0,0.924,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.019
197	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986761	9986288	9986603	9986690	9986761	197	0,0,14,16,10,12	0,0,46,57,68,54	9,18,13,7,4,19	81,71,71,45,60,54	186	99	1	1.0	NA,NA,0.139,0.13,0.073,0.106	0.056,0.119,0.089,0.076,0.034,0.158	0.023
198	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4386952	4387179	4386952	4387007	4387127	4387179	198	0,0,120,190,149,171	0,0,0,0,0,2	180,169,153,124,138,156	0,1,0,1,0,0	219	99	1	1.0	NA,NA,1.0,1.0,1.0,0.975	1.0,0.987,1.0,0.982,1.0,1.0	-0.001
767	"ENSMUSG00000042447.13"	"Mios"	chr6	+	8233049	8234361	8233049	8233254	8234231	8234361	767	0,0,6,2,7,2	0,0,30,52,29,29	3,18,4,1,12,7	48,43,52,43,37,40	1076	99	1	1.0	NA,NA,0.018,0.004,0.022,0.006	0.006,0.037,0.007,0.002,0.029,0.016	-0.004
909	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21869515	21870405	21869515	21869615	21870351	21870405	909	0,0,298,507,618,534	0,0,105,98,113,128	537,668,561,608,347,709	145,150,176,133,97,104	835	99	1	1.0	NA,NA,0.252,0.38,0.393,0.331	0.305,0.346,0.274,0.351,0.298,0.447	0.002
1173	"ENSMUSG00000028469.15"	"Npr2"	chr4	+	43643605	43644187	43643605	43643683	43644082	43644187	1173	0,0,17,20,41,42	0,0,106,92,70,92	38,30,43,30,31,56	103,84,107,74,98,96	498	99	1	1.0	NA,NA,0.031,0.041,0.104,0.083	0.068,0.066,0.074,0.075,0.059,0.104	-0.01
1174	"ENSMUSG00000028469.15"	"Npr2"	chr4	+	43650148	43650492	43650148	43650323	43650393	43650492	1174	0,0,0,0,0,0	0,0,58,78,47,40	5,1,0,1,3,1	67,68,77,94,52,69	169	99	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.042,0.009,0.0,0.006,0.033,0.008	-0.016
1180	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43566927	43567916	43566927	43567467	43567724	43567916	1180	0,0,19,27,22,22	0,0,62,48,77,73	25,17,19,23,24,12	53,51,58,77,79,61	356	99	1	1.0	NA,NA,0.079,0.135,0.074,0.077	0.116,0.085,0.083,0.077,0.078,0.052	0.009
1181	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569488	43569955	1181	0,0,1,10,10,12	0,0,65,65,74,57	20,6,14,11,1,3	62,47,95,94,47,80	302	99	1	1.0	NA,NA,0.005,0.048,0.042,0.065	0.096,0.04,0.046,0.037,0.007,0.012	0.0
1182	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569829	43569955	1182	0,0,26,43,28,25	0,0,0,0,0,0	56,29,36,22,14,31	1,3,0,0,0,0	643	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.896,0.598,1.0,1.0,1.0,1.0	0.084
1183	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569488	43569955	43569488	43569661	43569829	43569955	1183	0,0,9,13,7,3	0,0,57,85,67,69	18,14,11,5,7,11	62,50,83,57,55,69	267	99	1	1.0	NA,NA,0.055,0.054,0.037,0.016	0.097,0.094,0.047,0.032,0.045,0.056	-0.021
1184	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43570036	43570448	43570036	43570190	43570345	43570448	1184	0,0,17,9,33,24	0,0,72,76,101,60	28,25,25,24,11,18	62,52,75,63,68,85	254	99	1	1.0	NA,NA,0.084,0.044,0.113,0.135	0.15,0.158,0.115,0.129,0.059,0.076	-0.02
1185	"ENSMUSG00000028461.12"	"Ccdc107"	chr4	+	43495508	43495921	43495508	43495621	43495696	43495921	1185	0,0,5,6,10,9	0,0,84,90,82,48	6,9,17,2,13,9	111,105,111,84,78,67	174	99	1	1.0	NA,NA,0.033,0.037,0.065,0.096	0.03,0.047,0.08,0.013,0.087,0.071	0.003
1186	"ENSMUSG00000035969.15"	"Rusc2"	chr4	+	43426227	43427088	43426227	43426365	43426447	43427088	1186	0,0,51,41,29,47	0,0,138,106,120,108	67,43,73,37,45,74	146,123,156,148,131,107	181	99	1	1.0	NA,NA,0.168,0.175,0.117,0.192	0.201,0.161,0.204,0.12,0.158,0.274	-0.023
1187	"ENSMUSG00000036002.12"	"Fam214b"	chr4	-	43035835	43037206	43035835	43036804	43037062	43037206	1187	0,0,21,13,9,9	0,0,99,81,74,68	19,21,18,24,24,21	121,118,132,114,100,97	357	99	1	1.0	NA,NA,0.056,0.043,0.033,0.035	0.042,0.047,0.036,0.055,0.062,0.057	-0.008
1196	"ENSMUSG00000073889.10"	"Il11ra1"	chr4	+	41765274	41765552	41765274	41765307	41765385	41765552	1196	0,0,0,4,0,1	0,0,86,69,87,46	0,4,3,0,2,0	64,61,70,95,58,53	177	99	1	1.0	NA,NA,0.0,0.031,0.0,0.012	0.0,0.035,0.023,0.0,0.019,0.0	-0.002
