ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1224496	1224546	1239710	1239819	1199454	1199513	1245155	1245219	4	0,0,14,14,12,9	0,0,3,11,6,4	27,23,30,17,27,15	10,16,18,16,9,7	208	149	1	1.0	NA,NA,0.77,0.477,0.589,0.617	0.659,0.507,0.544,0.432,0.682,0.606	0.042
27	"ENSMUSG00000024743.16"	"Syt7"	chr19	+	10422784	10423012	10426298	10426667	10417962	10418042	10430337	10430460	27	0,0,0,0,0,1	0,0,210,203,216,216	0,0,0,0,0,0	248,232,287,311,218,239	327	468	1	1.0	NA,NA,0.0,0.0,0.0,0.007	0.0,0.0,0.0,0.0,0.0,0.0	0.002
31	"ENSMUSG00000034108.6"	"Ccs"	chr19	-	4833340	4833518	4834172	4834310	4832832	4832893	4838830	4838903	31	0,0,0,0,0,0	0,0,0,1,2,0	0,0,0,0,3,0	3,6,4,3,1,1	237	277	1	1.0	NA,NA,NA,0.0,0.0,NA	0.0,0.0,0.0,0.0,0.778,0.0	-0.13
43	"ENSMUSG00000047879.17"	"Usp14"	chr18	-	10017990	10018095	10022817	10022850	10016540	10016644	10024533	10024679	43	0,0,237,269,245,218	0,0,168,210,193,125	179,215,232,225,213,284	194,203,173,182,188,181	132	204	1	1.0	NA,NA,0.686,0.664,0.662,0.729	0.588,0.621,0.675,0.656,0.636,0.708	0.038
44	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9960485	9960552	9962372	9962491	9959097	9959315	9963262	9963311	44	0,0,9,11,17,14	0,0,39,33,53,45	18,10,17,13,18,24	44,44,37,61,30,41	166	218	1	1.0	NA,NA,0.233,0.304,0.296,0.29	0.349,0.23,0.376,0.219,0.441,0.435	-0.061
45	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7901495	7901602	7905399	7905515	7871530	7871744	7905931	7906044	45	0,0,159,145,128,133	0,0,188,200,162,154	176,147,175,171,175,161	227,184,171,205,155,186	206	215	1	1.0	NA,NA,0.469,0.431,0.452,0.474	0.447,0.455,0.516,0.465,0.541,0.475	-0.027
46	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7379988	7380069	7403185	7403356	7356141	7356235	7439568	7439633	46	0,0,29,19,10,10	0,0,2,4,11,7	14,17,24,28,6,26	1,6,11,3,1,10	270	180	1	1.0	NA,NA,0.906,0.76,0.377,0.488	0.903,0.654,0.593,0.862,0.8,0.634	-0.108
47	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6037017	6037116	6039353	6039455	6034449	6034552	6049276	6049358	47	0,0,122,133,124,92	0,0,102,108,100,80	114,106,179,109,120,132	103,122,144,99,99,134	201	198	1	1.0	NA,NA,0.541,0.548,0.55,0.531	0.522,0.461,0.55,0.52,0.544,0.492	0.028
48	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6056978	6056993	6057516	6057591	6052861	6052923	6061846	6061972	48	0,0,85,77,68,87	0,0,0,5,0,0	104,87,77,79,81,83	2,2,1,1,1,1	174	114	1	1.0	NA,NA,1.0,0.91,1.0,1.0	0.971,0.966,0.981,0.981,0.982,0.982	0.0
49	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6069830	6070091	6111684	6112439	6064340	6064421	6115813	6115850	49	0,0,627,684,631,624	0,0,89,133,141,100	715,669,594,572,728,666	93,77,98,125,115,134	854	360	1	1.0	NA,NA,0.748,0.684,0.654,0.725	0.764,0.786,0.719,0.659,0.727,0.677	-0.019
50	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6111684	6112439	6115813	6115850	6069830	6070091	6135803	6135888	50	0,0,11,24,41,23	0,0,631,711,673,639	25,16,17,16,30,25	720,662,587,624,746,691	136	854	1	1.0	NA,NA,0.099,0.175,0.277,0.184	0.179,0.132,0.154,0.139,0.202,0.185	0.019
51	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4379568	4379741	4380653	4380887	4375591	4375778	4383184	4383413	51	0,0,136,121,117,119	0,0,68,63,53,69	159,123,146,123,171,88	70,65,69,47,54,69	272	333	1	1.0	NA,NA,0.71,0.702,0.73,0.679	0.736,0.698,0.721,0.762,0.795,0.61	-0.015
52	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4379568	4379741	4380653	4380887	4375591	4375778	4383188	4383413	52	0,0,136,121,119,119	0,0,102,113,81,104	151,125,146,123,171,88	90,122,140,88,85,94	272	333	1	1.0	NA,NA,0.62,0.567,0.643,0.583	0.673,0.556,0.561,0.631,0.711,0.534	-0.008
53	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5705042	5705243	5748693	5748855	5591890	5591967	5758964	5759167	53	0,0,113,108,152,110	0,0,150,129,118,129	138,123,118,159,150,157	139,126,161,146,157,142	300	261	1	1.0	NA,NA,0.396,0.421,0.528,0.426	0.463,0.459,0.389,0.487,0.454,0.49	-0.014
80	"ENSMUSG00000034413.14"	"Neurl1b"	chr17	+	26431786	26432332	26438666	26439359	26414828	26414995	26441077	26441203	80	0,0,236,211,166,174	0,0,5,7,15,3	202,224,249,204,187,186	3,1,5,2,2,14	645	792	1	1.0	NA,NA,0.983,0.974,0.931,0.986	0.988,0.996,0.984,0.992,0.991,0.942	-0.014
95	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10571954	10572142	10574874	10575018	10566506	10567646	10577000	10577090	95	0,0,49,51,50,56	0,0,82,76,51,89	58,33,64,47,62,39	98,83,116,73,84,93	243	287	1	1.0	NA,NA,0.414,0.442,0.537,0.426	0.411,0.32,0.395,0.432,0.466,0.331	0.062
96	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10577637	10577759	10582054	10582186	10577000	10577090	10584247	10584362	96	0,0,95,65,52,63	0,0,0,8,8,8	54,69,100,52,91,65	4,3,4,6,5,6	231	221	1	1.0	NA,NA,1.0,0.886,0.861,0.883	0.928,0.957,0.96,0.892,0.946,0.912	-0.025
97	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10585977	10586041	10593745	10595875	10584247	10584362	10596338	10596441	97	0,0,386,483,627,404	0,0,23,13,19,16	570,542,462,461,503,448	13,12,28,16,22,8	2229	163	1	1.0	NA,NA,0.551,0.731,0.707,0.649	0.762,0.768,0.547,0.678,0.626,0.804	-0.038
