ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1176490	1176584	1176495	1176584	1174727	1174854	3	0,0,14,35,17,18	0,0,0,0,1,0	23,23,28,22,7,16	1,2,0,0,0,0	104	99	1	1.0	NA,NA,1.0,1.0,0.942,1.0	0.956,0.916,1.0,1.0,1.0,1.0	0.007
183	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9962372	9962491	183	0,0,6,5,6,3	0,0,0,4,0,0	7,14,11,2,9,7	0,0,0,0,0,0	243	99	1	1.0	NA,NA,1.0,0.337,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.166
184	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986288	9986603	9986288	9986355	9986690	9986761	184	0,0,80,148,153,129	0,0,0,2,0,0	149,175,116,115,90,109	0,0,0,0,0,0	347	99	1	1.0	NA,NA,1.0,0.955,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
185	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7626728	7626817	7626732	7626817	7561725	7561872	185	0,0,10,14,13,7	0,0,2,2,0,4	3,14,19,5,5,2	3,7,5,0,4,6	103	99	1	1.0	NA,NA,0.828,0.871,1.0,0.627	0.49,0.658,0.785,1.0,0.546,0.243	0.211
365	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10593745	10595875	10595675	10595875	10585977	10586041	365	0,0,344,427,583,376	0,0,1,9,1,0	530,497,427,427,461,403	5,0,2,2,4,2	2029	99	1	1.0	NA,NA,0.944,0.698,0.966,1.0	0.838,1.0,0.912,0.912,0.849,0.908	-0.001
366	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10593745	10595875	10595675	10595875	10588438	10588550	366	0,0,369,447,600,399	0,0,0,2,4,3	548,514,456,446,484,421	1,2,2,4,5,1	2029	99	1	1.0	NA,NA,1.0,0.916,0.88,0.866	0.964,0.926,0.918,0.845,0.825,0.954	0.01
614	"ENSMUSG00000029759.9"	"Pon3"	chr6	-	5246047	5246333	5246277	5246333	5240812	5240978	614	0,0,2,1,7,0	0,0,59,103,124,77	4,4,6,12,5,2	80,80,58,87,89,63	329	99	1	1.0	NA,NA,0.01,0.003,0.017,0.0	0.015,0.015,0.03,0.04,0.017,0.009	-0.014
722	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21869515	21870405	21869515	21869615	21871437	21871608	722	0,0,370,542,645,607	0,0,0,0,7,0	606,757,622,675,387,716	2,0,0,6,0,0	889	99	1	1.0	NA,NA,1.0,1.0,0.911,1.0	0.971,1.0,1.0,0.926,1.0,1.0	-0.005
918	"ENSMUSG00000028329.13"	"Xpa"	chr4	-	46184280	46184453	46184287	46184453	46183117	46183235	918	0,0,0,0,6,0	0,0,22,42,53,36	5,1,2,6,1,5	49,44,54,44,38,37	106	99	1	1.0	NA,NA,0.0,0.0,0.096,0.0	0.087,0.021,0.033,0.113,0.024,0.112	-0.041
923	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569488	43569955	43569829	43569955	43569180	43569285	923	0,0,90,98,92,70	0,0,0,0,0,0	98,70,117,105,60,108	1,3,0,0,0,0	440	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.957,0.84,1.0,1.0,1.0,1.0	0.034
