decoyID	mean_phylop	max_phylop	fraction_constrained	fraction_constrained_p01	sum_positive_phylop
A1CF_50810041_P	-9.614646	321.616000	0.229167	0.229167	3349.542000
A1CF_50828125_C	47.849178	321.616000	0.288889	0.288889	3046.252000
ABI1_26759056_C	-39.449163	321.616000	0.387755	0.387755	5702.545000
ABI1_26765435_P	-0.297755	0.717000	0.000000	0.000000	5.240000
ABI1_26806421_P	0.044000	1.225000	0.000000	0.000000	18.709000
ABI1_26823132_C	44.907692	321.616000	0.384615	0.384615	6355.788000
ACBD5_27205192_C	0.575431	2.986000	0.206897	0.155172	47.035000
ACBD5_27208240_C	-44.004323	321.616000	0.387097	0.387097	3188.789000
ACBD5_27232151_P	-0.034714	1.584000	0.020408	0.000000	13.147000
ACBD5_27232816_P	0.260592	1.908000	0.122449	0.000000	25.538000
ACBD5_27235482_P	-0.035490	1.207000	0.000000	0.000000	17.289000
ACBD5_27240668_C	0.575948	3.327000	0.293103	0.086207	47.152000
AKR1C3_5094341_P	-0.377000	1.009000	0.000000	0.000000	7.755000
AKR1C3_5094523_C	0.255759	2.790000	0.206897	0.137931	36.545000
AKR1C3_5096079_P	-0.736265	1.004000	0.000000	0.000000	4.986000
AKR1C3_5097545_C	159.250018	321.801000	0.754386	0.754386	13536.328000
AKR1C3_5099179_P	-0.264224	1.640000	0.020408	0.000000	10.477000
AKR1C3_5105672_C	34.146250	321.801000	0.557692	0.557692	8355.087000
AKR1C4_5196315_C	-0.481328	1.019000	0.000000	0.000000	11.723000
AKR1C4_5197383_P	-0.800000	0.671000	0.000000	0.000000	4.198000
AKR1C4_5212335_P	-0.290347	0.784000	0.000000	0.000000	9.943000
AKR1C4_5213154_C	87.849517	321.801000	0.637931	0.637931	11734.944000
AKR1E2_4835804_C	80.260959	321.616000	0.367347	0.367347	5076.262000
AKR1E2_4837841_P	-0.604408	1.067000	0.000000	0.000000	6.764000
ANKRD16_5884152_P	-0.212735	1.449000	0.020408	0.000000	11.377000
ANKRD16_5887841_C	2.075412	321.616000	0.352941	0.352941	3807.448000
ANKRD16_5888147_P	0.069816	2.270000	0.081633	0.020408	21.598000
ANKRD16_5889035_C	-0.583449	321.616000	0.265306	0.265306	4141.222000
ANKRD26_27012876_C	39.127056	321.616000	0.500000	0.500000	5660.272000
ANKRD26_27014883_P	-0.011673	0.750000	0.000000	0.000000	14.712000
ANKRD26_27028846_C	76.207705	321.616000	0.454545	0.454545	5267.903000
ANKRD26_27029195_P	-0.066796	1.408000	0.020408	0.000000	12.585000
ANKRD26_27029610_P	-0.049980	1.614000	0.040816	0.000000	17.947000
ANKRD26_27037865_C	101.838911	321.616000	0.377778	0.377778	5349.224000
ANKRD26_27040177_P	-35.161000	321.616000	0.428571	0.428571	3756.032000
ANKRD26_27043420_C	141.450053	319.100000	0.736842	0.736842	4060.334000
ANKRD26_27046347_C	24.488057	321.616000	0.358491	0.358491	5471.747000
ANKRD26_27053314_C	0.255224	2.826000	0.120690	0.017241	32.168000
ANKRD26_27053536_P	-0.415531	0.701000	0.000000	0.000000	3.958000
ANKRD26_27057859_P	-0.223959	0.368000	0.000000	0.000000	9.936000
ANKRD26_27060633_P	0.265898	2.014000	0.061224	0.040816	26.294000
ANKRD26_27060711_P	0.150082	2.537000	0.081633	0.020408	22.633000
