MAF_file	mean_phylop	max_phylop	fraction_constrained	fraction_constrained_p01	sum_positive_phylop	decoy_id_clean
A1CF_50807502	-0.188184	1.025000	0.000000	0.000000	9.026000	A1CF_50807502
ABI1_26752662	0.741816	3.161000	0.224490	0.081633	41.425000	ABI1_26752662
ABI1_26762739	0.251837	2.282000	0.081633	0.020408	23.787000	ABI1_26762739
ABI1_26767315	0.022367	1.892000	0.040816	0.000000	21.014000	ABI1_26767315
ACBD5_27211797	-0.073796	1.045000	0.000000	0.000000	15.263000	ACBD5_27211797
ACBD5_27216794	-0.084878	1.307000	0.102041	0.000000	17.087000	ACBD5_27216794
ACBD5_27218364	0.343816	2.083000	0.040816	0.020408	27.547000	ACBD5_27218364
ADAMTS14_70733540	-0.292531	1.653000	0.061224	0.000000	13.806000	ADAMTS14_70733540
ADAMTS14_70734635	-0.255551	1.019000	0.000000	0.000000	10.980000	ADAMTS14_70734635
ADAMTS14_70751100	-0.257694	1.205000	0.000000	0.000000	11.254000	ADAMTS14_70751100
ADK_74218156	-1.986224	-1.897000	0.000000	0.000000	0.000000	ADK_74218156
ADK_74349750	-1.064327	-0.874000	0.000000	0.000000	0.000000	ADK_74349750
ADK_74350308	-0.967388	-0.874000	0.000000	0.000000	0.000000	ADK_74350308
ADK_74493578	-0.961592	-0.630000	0.000000	0.000000	0.000000	ADK_74493578
AKR1C3_5099240	-0.272429	1.160000	0.000000	0.000000	9.043000	AKR1C3_5099240
AKR1C4_5204846	-0.477061	0.858000	0.000000	0.000000	5.532000	AKR1C4_5204846
AKR1C4_5204851	-0.775000	-0.553000	0.000000	0.000000	0.000000	AKR1C4_5204851
AKR1E2_4844337	-1.282878	-1.135000	0.000000	0.000000	0.000000	AKR1E2_4844337
ANK3_60063804	-0.171633	1.157000	0.000000	0.000000	11.922000	ANK3_60063804
ANK3_60064567	0.024122	0.949000	0.000000	0.000000	11.272000	ANK3_60064567
ANK3_60066542	-0.225898	2.538000	0.040816	0.020408	14.400000	ANK3_60066542
ANK3_60068144	146.956350	319.100000	0.650000	0.650000	8090.317000	ANK3_60068144
ANK3_60078995	0.069939	1.804000	0.081633	0.000000	20.961000	ANK3_60078995
ANK3_60134817	0.021673	2.213000	0.081633	0.020408	18.115000	ANK3_60134817
ANK3_60135311	-0.248633	1.789000	0.020408	0.000000	13.218000	ANK3_60135311
ANK3_60135324	-0.151333	2.562000	0.166667	0.083333	4.739000	ANK3_60135324
ANK3_60199149	-0.257000	1.215000	0.000000	0.000000	12.681000	ANK3_60199149
ANK3_60205257	-0.243408	2.627000	0.020408	0.020408	12.421000	ANK3_60205257
ANK3_60211827	-0.500184	1.253000	0.000000	0.000000	7.620000	ANK3_60211827
ANK3_60273674	-0.810408	-0.630000	0.000000	0.000000	0.000000	ANK3_60273674
ANKRD16_5878344	-0.411531	1.131000	0.000000	0.000000	7.872000	ANKRD16_5878344
ANKRD16_5880500	-0.616224	-0.379000	0.000000	0.000000	0.000000	ANKRD16_5880500
ANKRD26_27013374	-0.189980	1.753000	0.040816	0.000000	13.992000	ANKRD26_27013374
ANKRD26_27026002	0.068367	1.581000	0.061224	0.000000	19.689000	ANKRD26_27026002
ANKRD26_27050747	-0.022735	1.599000	0.040816	0.000000	16.092000	ANKRD26_27050747
ANKRD26_27056870	0.205367	2.275000	0.102041	0.040816	24.053000	ANKRD26_27056870
ANKRD26_27062100	-0.144265	1.158000	0.000000	0.000000	12.304000	ANKRD26_27062100
ANKRD26_27064368	0.042429	2.613000	0.040816	0.020408	21.965000	ANKRD26_27064368
ANKRD26_27071937	-1.128143	-0.891000	0.000000	0.000000	0.000000	ANKRD26_27071937
ANKRD26_27085795	-0.807755	-0.643000	0.000000	0.000000	0.000000	ANKRD26_27085795
ANKRD26_27088862	-0.154224	1.761000	0.040816	0.000000	15.628000	ANKRD26_27088862
ANKRD26_27096108	-0.164510	0.483000	0.000000	0.000000	11.592000	ANKRD26_27096108
ANKRD30A_37127847	0.240204	1.452000	0.204082	0.000000	25.344000	ANKRD30A_37127847
ANKRD30A_37218128	-0.147939	1.317000	0.020408	0.000000	13.137000	ANKRD30A_37218128
ANTXRL_46288314	-0.584061	1.795000	0.020408	0.000000	7.559000	ANTXRL_46288314
ANTXRL_46288318	-1.177333	-1.048000	0.000000	0.000000	0.000000	ANTXRL_46288318
ANTXRL_46307638	-0.573531	1.878000	0.020408	0.000000	6.533000	ANTXRL_46307638
ANTXRL_46307642	-0.862333	-0.548000	0.000000	0.000000	0.000000	ANTXRL_46307642
ANXA11_80167547	0.023510	2.024000	0.040816	0.040816	20.005000	ANXA11_80167547
ANXA7_73379482	-0.068143	2.194000	0.040816	0.020408	18.805000	ANXA7_73379482
AP3M1_74128586	0.193939	2.212000	0.102041	0.040816	25.620000	AP3M1_74128586
APBB1IP_26496644	0.076469	1.647000	0.040816	0.000000	20.729000	APBB1IP_26496644
ARHGAP12_31814030	-0.068000	2.255000	0.040816	0.020408	19.639000	ARHGAP12_31814030
ARHGAP12_31815269	-0.083122	1.368000	0.040816	0.000000	14.804000	ARHGAP12_31815269
ARHGAP21_24601285	-0.000898	3.258000	0.040816	0.040816	19.293000	ARHGAP21_24601285
ARHGAP21_24627935	-0.098143	1.203000	0.000000	0.000000	16.609000	ARHGAP21_24627935
ARHGAP21_24627941	0.115800	0.828000	0.000000	0.000000	1.749000	ARHGAP21_24627941
ARHGAP21_24631084	-0.410551	1.190000	0.000000	0.000000	4.910000	ARHGAP21_24631084
ARHGAP21_24631118	-0.444576	1.016000	0.000000	0.000000	4.064000	ARHGAP21_24631118
ARL5B_18671020	-0.050735	1.510000	0.102041	0.000000	17.863000	ARL5B_18671020
ARL5B_18673336	-0.166612	1.032000	0.000000	0.000000	10.230000	ARL5B_18673336
ARL5B_18673338	1.060000	1.625000	0.500000	0.000000	2.120000	ARL5B_18673338
ARMC3_22967752	-0.317408	1.564000	0.020408	0.000000	9.700000	ARMC3_22967752
ARMC3_23000176	-0.270143	1.578000	0.020408	0.000000	14.422000	ARMC3_23000176
ARMC4_27861536	0.051714	1.604000	0.040816	0.000000	17.182000	ARMC4_27861536
ARMC4_27861934	0.620592	2.607000	0.122449	0.061224	38.877000	ARMC4_27861934
ARMC4_27936416	-0.084408	1.461000	0.061224	0.000000	18.455000	ARMC4_27936416
ARMC4_27969980	-0.281265	0.801000	0.000000	0.000000	7.773000	ARMC4_27969980
ARMC4_27987152	0.176306	1.742000	0.061224	0.000000	23.792000	ARMC4_27987152
ARMC4_27989988	-0.093408	1.836000	0.020408	0.000000	16.549000	ARMC4_27989988
ASAH2_50197327	-0.156776	1.285000	0.000000	0.000000	11.262000	ASAH2_50197327
ASAH2_50203096	-0.248694	0.983000	0.000000	0.000000	12.475000	ASAH2_50203096
ASAH2_50205639	0.216082	2.141000	0.020408	0.020408	21.707000	ASAH2_50205639
ASAH2_50209114	-0.306429	0.347000	0.000000	0.000000	8.328000	ASAH2_50209114
ASCC1_72200390	-0.322347	0.545000	0.000000	0.000000	7.085000	ASCC1_72200390
BICC1_58798245	0.300857	2.360000	0.020408	0.020408	23.768000	BICC1_58798245
BICC1_58799652	-0.867959	-0.630000	0.000000	0.000000	0.000000	BICC1_58799652
BICC1_58799656	-0.924667	-0.630000	0.000000	0.000000	0.000000	BICC1_58799656
BMS1_42786017	-0.106653	0.641000	0.000000	0.000000	10.546000	BMS1_42786017
BMS1_42792799	-0.096980	1.076000	0.000000	0.000000	13.773000	BMS1_42792799
BMS1_42799768	-0.299327	0.879000	0.000000	0.000000	10.503000	BMS1_42799768
BMS1_42816488	-0.247592	1.646000	0.020408	0.000000	11.480000	BMS1_42816488
BMS1_42818075	0.002592	2.043000	0.102041	0.020408	17.807000	BMS1_42818075
BMS1_42818091	-0.141933	1.798000	0.066667	0.000000	4.324000	BMS1_42818091
BMS1_42821829	-0.310898	0.523000	0.000000	0.000000	5.230000	BMS1_42821829
C10orf107_61681960	-0.162327	1.372000	0.122449	0.000000	16.959000	C10orf107_61681960
C10orf11_75847775	-0.222122	0.686000	0.000000	0.000000	8.472000	C10orf11_75847775
C10orf11_75993225	-0.180796	2.338000	0.040816	0.040816	14.551000	C10orf11_75993225
