decoyID	oryAfe1	vicPac2	allMis1	dasNov3	gadMor1	papAnu2	eptFus1	pteAle1	octDeg1	melUnd1	hapBur1	otoGar3	eleEdw1	chrAsi1	felCat8	galGal4	panTro4	chiLan1	criGri1	pelSin1	tupChi1	latCha1	ficAlb2	bosTau8	macFas5	myoDav1	canFam3	turTru2	capHir1	loxAfr3	musFur1	fr3	nomLeu3	mesAur1	gorGor3	chlSab2	cheMyd1	cavPor3	eriEur2	equCab2	hg38	orcOrc1	petMar2	jacJac1	anoCar2	anaPla1	triMan1	calJac3	oryLat2	geoFor1	pteVam1	astMex1	myoLuc2	mm10	hetGla2	oreNil2	monDom5	ponAbe2	odoRosDiv1	chrPic2	ailMel1	falPer1	susScr3	ochPri3	ornAna1	micOch1	neoBri1	amaVit1	punNye1	oryCun2	rn6	rheMac3	colLiv1	falChe1	araMac1	oviAri3	sorAra2	xipMac1	apaSpi1	lepOcu1	saiBol1	speTri2	gasAcu1	sarHar1	echTel2	tetNig2	panHod1	pseHum1	melGal1	macEug2	lepWed1	cerSim1	zonAlb1	camFer1	takFla1	taeGut2	mayZeb1	danRer10	xenTro7	conCri1	max_spliceai_score
ACTB_5530194_D	0.181646	-1	0.001989	0.000135	0.369986	0.000725	-1	-1	-1	8.5e-05	-1	7e-05	-1	0.000609	-1	0.004099	0.003299	-1	0.002395	2.1e-05	-1	-1	6.4e-05	8e-05	0.001006	-1	0.001607	0.007162	-1	-1	-1	0.000264	0.01416	0.00137	0.001995	0.000971	0.000477	8e-06	0.000112	-1	0.002199	0.004043	-1	0.002786	-1	0.002557	9.1e-05	2.4e-05	-1	3.5e-05	0.000128	-1	-1	0.00122	2.2e-05	-1	0.905156	0.000813	0.004541	0.000505	-1	0.001235	0.005329	-1	0.008633	0.001605	-1	2e-06	-1	0.001967	0.001242	-1	6e-06	0.001235	8e-06	-1	1e-05	0.000328	-1	-1	-1	0.000145	0.000128	0.017898	-1	0.001881	-1	5e-06	8e-06	-1	-1	-1	0.000125	-1	0.000264	0.00016	-1	-1	-1	0.008959	0.905156
TGM7_43286956_D	0.001227	0.241515	-1	0.029427	-1	0.001957	0.195382	0.062849	0.134978	-1	-1	0.00906	-1	-1	0.001297	-1	0.061336	0.015127	0.000229	-1	0.156148	-1	-1	0.003065	0.001957	0.313518	0.106791	0.208679	0.005236	0.200658	0.000194	-1	-1	0.000152	0.061336	0.001035	-1	-1	-1	5.5e-05	0.061336	0.208679	-1	0.071648	-1	-1	0.044742	0.003435	-1	0.001295	0.047153	-1	0.091916	0.002935	0.187697	-1	-1	0.175898	0.001924	-1	0.083344	-1	0.012566	0.033457	-1	0.000357	-1	-1	-1	0.904431	0.165264	0.001957	-1	-1	-1	0.008905	-1	-1	-1	-1	0.001397	0.077722	-1	-1	2.6e-05	-1	0.002244	-1	-1	-1	0.000134	0.072175	0.003033	0.209998	-1	4.7e-05	-1	-1	-1	0.594056	0.904431
L3MBTL3_130093895_D	0.00033	0.001052	-1	1.2e-05	-1	0.047707	5e-05	0.000382	-1	-1	-1	0.003113	4e-06	3.8e-05	5.4e-05	-1	0.066418	-1	3.7e-05	-1	-1	-1	-1	0.027636	0.054479	0.001442	0.000611	0.000492	0.001492	4.7e-05	8.8e-05	-1	0.17064	1.3e-05	0.066418	0.054479	-1	-1	-1	0.004689	0.055852	0.047134	-1	0.017544	-1	-1	0.000101	0.293817	-1	-1	-1	-1	0.002307	5e-06	0.900447	-1	2.1e-05	0.105252	0.000467	0.002756	0.000153	-1	0.002698	-1	-1	6.1e-05	-1	-1	-1	0.000683	0.000147	0.054479	-1	-1	-1	0.00025	-1	-1	-1	-1	0.245042	0.018316	-1	0.000677	-1	-1	0.016933	-1	-1	-1	0.000413	0.014961	-1	0.001285	-1	-1	-1	-1	-1	-1	0.900447
NMT2_15128562_D	0.004438	0.004543	1e-06	0.107702	-1	0.178505	0.018086	0.899148	0.004423	0.00035	-1	0.150114	0.00384	0.002417	0.000607	0.00237	0.348984	0.611146	0.000508	3.2e-05	-1	-1	-1	0.005545	0.178505	0.012304	0.000708	0.000417	0.007001	0.003268	0.001551	-1	0.348984	0.015065	0.260717	0.178505	4.6e-05	0.04698	0.00025	0.000418	0.348984	0.000464	-1	0.275915	-1	-1	0.004541	0.000449	-1	-1	0.899148	-1	0.019277	8e-06	0.017961	-1	8e-06	0.348984	0.000121	4e-06	0.00021	1e-06	0.701846	0.000774	-1	0.450276	-1	0.000319	-1	0.080589	0.002808	0.002326	2e-06	1e-06	0.00035	0.007001	-1	-1	1e-06	0.001889	0.000457	0.001164	-1	3e-06	0.011947	-1	0.011041	-1	0	-1	0.003737	0.001257	-1	0.013675	-1	0	-1	0.000315	0.000651	0.01757	0.899148
NCAPH_96354985_D	0.898765	8.8e-05	-1	2e-04	-1	0.233299	0.048506	0.000393	0.119728	-1	-1	4.7e-05	-1	0.068022	0.001193	-1	0.307029	0.01848	-1	-1	0.032094	-1	-1	0.000124	0.233299	8.5e-05	0.00015	4.8e-05	3.1e-05	0.105725	0.002318	-1	0.307029	-1	0.307029	0.087809	-1	0.053168	2.7e-05	0.008321	0.307029	4.8e-05	-1	0.000174	-1	-1	0.326695	0.106002	-1	-1	0.000544	-1	8.5e-05	-1	0.071521	-1	-1	0.307029	0.022626	-1	0.008747	-1	9e-06	-1	-1	-1	-1	-1	-1	-1	-1	0.233299	-1	-1	-1	3.1e-05	-1	-1	-1	-1	0.154875	0.138754	-1	-1	0.21171	-1	3.1e-05	-1	-1	-1	0.014712	0.000113	-1	4.9e-05	-1	-1	-1	-1	-1	0.004164	0.898765
LARS2_45517501_D	0.008569	0.83947	-1	0.009049	-1	0.000239	0.640329	0.861119	-1	-1	-1	0.014351	-1	0.003749	-1	-1	0.258109	-1	0.000238	-1	0.017906	-1	-1	0.298257	0.000197	0.220686	-1	0.785601	0.876744	0.012254	-1	-1	0.290284	0.133914	0.258109	0.000197	-1	-1	-1	0.874419	0.258109	0.778746	-1	-1	-1	-1	0.712857	0.000166	-1	-1	0.837766	-1	0.19458	0.002505	1.6e-05	-1	-1	0.258109	-1	-1	-1	-1	0.000666	0.002472	-1	0.000543	-1	-1	-1	-1	0.000439	0.000197	-1	-1	-1	0.876744	-1	-1	-1	-1	0.000139	0.003766	-1	-1	-1	-1	0.036762	-1	-1	-1	-1	0.888651	-1	0.698091	-1	-1	-1	-1	-1	0	0.888651
SNX13_17819962_D	0.002373	-1	-1	1.4e-05	-1	0.001295	-1	0.027042	0.000287	-1	-1	0.004015	-1	0.001102	0.886598	-1	0.04249	0.010861	-1	0.000997	0.030102	-1	-1	2.6e-05	0.001295	-1	0.000308	-1	3.5e-05	0.012729	0.000203	-1	0.125334	-1	0.04249	0.001295	2.8e-05	0.397788	-1	0.008386	0.04249	-1	-1	0.078602	-1	-1	0.006846	0.000746	-1	-1	0.027042	-1	-1	-1	0.009753	-1	-1	0.000248	0.000196	-1	3.2e-05	-1	0.027223	-1	2.3e-05	-1	-1	-1	-1	9.3e-05	-1	0.001295	-1	-1	-1	0.000137	0.056484	-1	-1	-1	0.000697	0.000343	-1	0.000219	-1	-1	3.5e-05	-1	-1	-1	0.000196	0.012765	-1	-1	-1	-1	-1	-1	-1	0.001769	0.886598
ITGA9_37781600_D	1e-05	0.048146	-1	8.5e-05	-1	1.2e-05	0.015945	7.8e-05	1.2e-05	-1	-1	4.8e-05	-1	2e-05	0.000225	-1	1.2e-05	9e-06	0.001666	-1	0.002028	-1	-1	0.000589	1.2e-05	0.034967	1.9e-05	0.000107	0.000362	0.000117	0.005701	-1	1.2e-05	0.000768	1.2e-05	2e-05	-1	6e-06	0	0.000143	0.020294	0.000107	-1	0.008771	-1	-1	0.881727	0.000136	-1	-1	7.8e-05	-1	0.034967	0.012541	5e-06	-1	-1	8e-06	0.000201	-1	0.000229	-1	0.000192	0.001903	-1	-1	-1	-1	-1	0.000129	0.031229	1.2e-05	-1	-1	-1	0.00032	-1	-1	-1	-1	9e-06	0.116578	-1	-1	2.7e-05	-1	0.00037	-1	-1	-1	0.000201	0.00015	-1	2.2e-05	-1	-1	-1	-1	-1	0.014266	0.881727
PPIF_79350520_D	0.461204	0.000677	0.000606	0.00364	-1	0.173005	0.001956	0.380077	0.001637	-1	-1	0.190248	0.000104	0.000112	0.018248	9.9e-05	0.532333	0.014972	1.7e-05	-1	0.55574	-1	0.002381	0.423781	0.001429	0.000242	0.001011	0.878439	0.15082	-1	0.140325	-1	0.745354	4.3e-05	0.498562	0.173005	-1	0.0042	0.081438	0.134205	0.628324	0.6342	-1	0.046171	-1	-1	0.148694	0.020445	-1	-1	-1	-1	0.000201	0.001033	0.01497	-1	-1	0.60659	0.532685	-1	0.183003	-1	0.397919	-1	-1	0.000384	-1	-1	-1	0.000108	0.000108	0.001429	-1	-1	-1	0.505334	-1	-1	-1	-1	0.179132	7e-06	-1	-1	0.360634	-1	0.446098	-1	-1	-1	0.337915	0.19422	-1	0.000676	-1	-1	-1	-1	-1	0.358957	0.878439
PSME4_53913870_D	0.656642	0.600573	0.587365	0.585809	-1	0.585809	0.602466	0.602466	0.747528	0.842847	-1	0.585809	0.737698	0.495226	0.673493	0.863003	0.585809	0.7458	0.616893	0.587365	0.585809	-1	0.485764	0.585809	0.585809	0.602466	0.585809	0.585809	0.585809	0.683475	0.585809	-1	0.585809	0.616893	0.585809	0.585809	0.581101	0.612502	0.585809	0.585809	0.585809	0.585809	-1	0.585809	-1	0.606381	0.63907	0.585809	-1	0.385705	0.602466	-1	0.602466	0.673493	0.585809	-1	0.664801	0.585809	0.585809	0.581101	0.585809	0.640675	0.585809	0.664801	0.667015	0.616893	-1	0.842847	-1	0.585809	0.673493	0.585809	0.854373	0.640675	0.842847	0.585809	0.801452	-1	0.587365	-1	0.585809	0.55988	-1	0.664801	0.72422	-1	0.585809	0.385705	0.859533	0.664801	0.585809	0.585809	0.385705	0.600573	-1	0.485764	-1	-1	-1	0.585809	0.863003
